,NAME,URL
0,ビジネスパーソンの新しい必須知識「テクノベート」基礎,https://unlimited.globis.co.jp/ja/courses/8ed57ebc
1,はじめてのビジネスプランニング,https://unlimited.globis.co.jp/ja/courses/4a26651f
2,ベンチャー・マネジメント,https://unlimited.globis.co.jp/ja/courses/8a26d0dd
3,テクノベート・ストラテジー（前編）,https://unlimited.globis.co.jp/ja/courses/4f41c435
4,テクノベート・ストラテジー（後編）,https://unlimited.globis.co.jp/ja/courses/4125e5b0
5,データサイエンスの潮流とビジネスへの実践,https://unlimited.globis.co.jp/ja/courses/f4d9fc54
6,ビジネスでのデータ活用,https://unlimited.globis.co.jp/ja/courses/8d4dc5a0
7,ヤフーCSO安宅和人×鈴木寛が語る！リーダーに必要な「AI」「データ」の知識と活用法,https://unlimited.globis.co.jp/ja/courses/a981bb5d
