,NAME,URL
0,選ばれ続ける営業の「質問力」,https://unlimited.globis.co.jp/ja/courses/4feab905
1,冷静と情熱の営業,https://unlimited.globis.co.jp/ja/courses/6d7bed42
2,法人営業,https://unlimited.globis.co.jp/ja/courses/e77c6041
3,経営戦略,https://unlimited.globis.co.jp/ja/courses/1916a92b
4,なぜその提案書では負けるのか？～プロポーザルマネジメントのススメ～,https://unlimited.globis.co.jp/ja/courses/96c6b97b
