,NAME,URL
0,DXとは何か～基礎編：GAFAな働き方から学ぶ企業変革～,https://unlimited.globis.co.jp/ja/courses/d4b879c7
1,DXとは何か～実践編：ドワンゴ・KADOKAWAの事例から学ぶ企業変革～,https://unlimited.globis.co.jp/ja/courses/810a8f12
2,ディープラーニング,https://unlimited.globis.co.jp/ja/courses/a939d28b
3,ビッグデータ,https://unlimited.globis.co.jp/ja/courses/9e0a8400
4,6Tech～イノベーションの潮流～,https://unlimited.globis.co.jp/ja/courses/288276d8
5,レイヤー構造,https://unlimited.globis.co.jp/ja/courses/418923a3
6,プラットフォーム,https://unlimited.globis.co.jp/ja/courses/c516495b
7,UI/UX,https://unlimited.globis.co.jp/ja/courses/598e2d80
8,アフターデジタル時代のビジネスと組織・リーダーに必要なこと,https://unlimited.globis.co.jp/ja/courses/36185f31
