,NAME,URL
0,セグメンテーション・ターゲティング,https://unlimited.globis.co.jp/ja/courses/3cc87c23
1,ポジショニング,https://unlimited.globis.co.jp/ja/courses/3d87ace8
2,マーケティングミックス（4P）,https://unlimited.globis.co.jp/ja/courses/e5ec371d
3,マーケティング（基本編）,https://unlimited.globis.co.jp/ja/courses/1d85b1fc
4,マーケティング（マーケティングミックス編）,https://unlimited.globis.co.jp/ja/courses/115c84fb
5,製品ライフサイクル,https://unlimited.globis.co.jp/ja/courses/ac561c63
6,価格弾力性,https://unlimited.globis.co.jp/ja/courses/6767730b
7,態度変容モデル,https://unlimited.globis.co.jp/ja/courses/9ad45090
8,流通チャネル,https://unlimited.globis.co.jp/ja/courses/1239a919
