,NAME,URL
0,ハートに届けるクリエイティブ,https://unlimited.globis.co.jp/ja/courses/06a0cd53
1,MBAの学びを実践に活かす～マクドナルドのターンアラウンドにおける経験を事例として～（前編）,https://unlimited.globis.co.jp/ja/courses/faeee6cb
2,MBAの学びを実践に活かす～マクドナルドのターンアラウンドにおける経験を事例として～（後編）,https://unlimited.globis.co.jp/ja/courses/a9c8aaa8
3,商品企画で大事なコト～コーセーでの商品企画経験を事例に～,https://unlimited.globis.co.jp/ja/courses/1be2117b
4,マーケティングは愛～マーケティングの本質編～,https://unlimited.globis.co.jp/ja/courses/35c578bb
5,なぜ今「カスタマーサクセス」なのか？,https://unlimited.globis.co.jp/ja/courses/7e24cf83
6,意味のイノベーション,https://unlimited.globis.co.jp/ja/courses/4efc962c
7,糸井重里が語るヒットを生む組織づくり,https://unlimited.globis.co.jp/ja/courses/3b86cc04
